order_id,region,amount,units
1000,west,726.07,8
1001,east,565.28,1
1002,east,734.41,5
1003,south,539.95,5
1004,north,364.81,3
1005,east,230.89,2
1006,east,838.14,5
1007,west,874.41,1
1008,west,853.77,2
1009,south,502.89,6
1010,south,539.92,3
1011,south,291.69,7
1012,south,475.64,8
1013,north,107.25,6
1014,west,920.43,5
1015,east,75.19,8
1016,north,705.59,1
1017,west,73.62,9
1018,north,692.61,5
1019,west,280.37,9
1020,east,696.88,3
1021,east,152.65,1
1022,east,974.05,4
1023,east,429.06,6
1024,east,840.61,8
1025,west,757.71,9
1026,west,133.64,2
1027,west,945.03,6
1028,north,537.35,9
1029,east,35.79,2
1030,north,679.12,7
1031,north,516.57,9
1032,south,818.12,4
1033,west,323.72,3
1034,north,542.7,9
1035,west,81.91,4
1036,north,543.32,3
1037,east,355.56,5
1038,south,241.75,5
1039,west,601.52,1
1040,east,494.56,8
1041,north,699.56,9
1042,south,408.24,8
1043,south,90.73,7
1044,north,533.76,3
1045,north,843.75,3
1046,south,461.57,8
1047,west,700.47,6
1048,south,787.67,7
1049,west,822.68,7
1050,west,539.55,8
1051,west,62.98,9
1052,west,530.73,6
1053,south,780.32,3
1054,east,947.56,3
1055,north,386.61,5
1056,east,473.78,8
1057,south,319.95,6
1058,west,64.41,7
1059,east,144.87,3
